time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment
299.579698,0.000000,0.000000,0.053836,0.000771,1
299.679698,0.000000,0.000000,0.057648,0.000682,1
299.779698,0.000000,0.000000,0.062945,0.001049,1
299.879698,0.000000,0.000000,0.039234,0.001056,1
299.979698,0.000000,0.000000,0.008244,0.001238,1
300.079698,0.000000,0.000000,0.015744,0.000980,1
300.179698,0.000000,0.000000,0.032955,0.000651,1
300.279698,0.000000,0.000000,0.029701,0.001929,1
300.379698,0.000000,0.000000,0.021325,0.001001,1
300.479698,0.000000,0.000000,0.017694,0.001028,1
300.579698,0.000000,0.000000,0.015253,0.000110,1
300.679698,0.000000,0.000000,0.014196,0.001545,1
300.779698,0.000000,0.000000,0.013484,0.000737,1
300.879698,0.000000,0.000000,0.026350,0.001820,1
300.979698,0.000000,0.000000,0.042613,0.000165,1
301.079698,0.000000,0.000000,0.029333,0.001268,1
301.179698,0.000000,0.000000,0.008626,0.000910,1
301.279698,0.000000,0.000000,0.020915,0.000634,1
301.379698,0.000000,0.000000,0.041484,0.001142,1
301.479698,0.000000,0.000000,0.035924,0.001034,1
301.579698,0.000000,0.000000,0.023814,0.001172,1
301.679698,0.000000,0.000000,0.022425,0.000682,1
301.779698,0.000000,0.000000,0.023737,0.001620,1
301.879698,0.000000,0.000000,0.026563,0.001084,1
301.979698,0.000000,0.000000,0.029769,0.000709,1
302.079698,0.000000,0.000000,0.020299,0.000769,1
302.179698,0.000000,0.000000,0.007636,0.001458,1
302.279698,0.000000,0.000000,0.017989,0.001383,1
302.379698,0.000000,0.000000,0.034108,0.000553,1
302.479698,0.000000,0.000000,0.036454,0.001042,1
302.579698,0.000000,0.000000,0.035350,0.001478,1
302.679698,0.000000,0.000000,0.025504,0.000836,1
302.779698,0.000000,0.000000,0.013460,0.000682,1
302.879698,0.000000,0.000000,0.013835,0.000955,1
302.979698,0.000000,0.000000,0.017325,0.001203,1
303.079698,0.000000,0.000000,0.020422,0.000602,1
303.179698,0.000000,0.000000,0.023421,0.000934,1
303.279698,0.000000,0.000000,0.025278,0.001344,1
303.379698,0.000000,0.000000,0.026851,-0.000004,1
303.479698,0.000000,0.000000,0.031355,0.000253,1
303.579698,0.000000,0.000000,0.036594,0.001047,1
303.679698,0.000000,0.000000,0.027788,0.001247,1
303.779698,0.000000,0.000000,0.015465,0.001367,1
303.879698,0.000000,0.000000,0.016208,0.000839,1
303.979698,0.000000,0.000000,0.020219,0.002015,1
304.079698,0.000000,0.000000,0.016736,0.001109,1
304.179698,0.000000,0.000000,0.011372,0.000957,1
304.279698,0.000000,0.000000,0.018577,-0.000122,1
304.379698,0.000000,0.000000,0.028938,0.001595,1
304.479698,0.000000,0.000000,0.031534,-0.000278,1
304.579698,0.000000,0.000000,0.032181,0.001889,1
304.679698,0.000000,0.000000,0.034071,0.001689,1
304.779698,0.000000,0.000000,0.036274,0.001152,1
304.879698,0.000000,0.000000,0.033396,0.000432,1
304.979698,0.000000,0.000000,0.029245,0.000745,1
305.079698,0.000000,0.000000,0.028081,0.000888,1
305.179698,0.000000,0.000000,0.028904,0.001319,1
305.279698,0.000000,0.000000,0.030420,0.000409,1
305.379698,0.000000,0.000000,0.032111,0.000828,1
305.479698,0.000000,0.000000,0.033331,0.001690,1
305.579698,0.000000,0.000000,0.034434,0.000760,1
305.679698,0.000000,0.000000,0.027262,0.001054,1
305.779698,0.000000,0.000000,0.018014,0.001862,1
305.879698,0.000000,0.000000,0.017691,0.001168,1
305.979698,0.000000,0.000000,0.019614,0.000022,1
306.079698,0.000000,0.000000,0.024101,0.000901,1
306.179698,0.000000,0.000000,0.029234,0.001741,1
306.279698,0.000000,0.000000,0.036296,0.000369,1
306.379698,0.000000,0.000000,0.043844,-0.000013,1
306.479698,0.000000,0.000000,0.029745,0.001590,1
306.579698,0.000000,0.000000,0.010231,0.000669,1
306.679698,0.000000,0.000000,0.008476,0.000816,1
306.779698,0.000000,0.000000,0.011166,0.002028,1
306.879698,0.000000,0.000000,0.011584,0.001557,1
306.979698,0.000000,0.000000,0.011432,0.000994,1
307.079698,0.000000,0.000000,0.012222,0.001314,1
307.179698,0.000000,0.000000,0.013248,0.001072,1
307.279698,0.000000,0.000000,0.026201,0.000754,1
307.379698,0.000000,0.000000,0.042140,0.000768,1
307.479698,0.000000,0.000000,0.034428,0.001847,1
307.579698,0.000000,0.000000,0.020767,0.001389,1
