time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps
52.179698,0.185000,0.000000,1.211277,0.062650
52.279698,0.185000,0.000000,1.206209,0.086938
52.379698,0.185000,0.000000,1.199844,0.076801
52.479698,0.185000,0.000000,1.202563,0.038622
52.579698,0.185000,0.000000,1.207555,0.030700
52.679698,0.185000,0.000000,1.204875,0.009109
52.779698,0.185000,0.000000,1.200272,0.056497
52.879698,0.185000,0.000000,1.203828,0.077418
52.979698,0.185000,0.000000,1.209436,0.064121
53.079698,0.185000,0.000000,1.234362,0.026592
53.179698,0.185000,0.000000,1.272185,0.016089
53.279698,0.185000,0.000000,1.257029,0.024396
53.379698,0.185000,0.000000,1.228535,0.035269
53.479698,0.185000,0.000000,1.207717,0.043398
53.579698,0.185000,0.000000,1.188823,0.057371
53.679698,0.185000,0.000000,1.190804,0.085201
53.779698,0.185000,0.000000,1.198007,0.136686
53.879698,0.185000,0.000000,1.211241,0.163287
53.979698,0.185000,0.000000,1.225988,0.139918
54.079698,0.185000,0.000000,1.236456,0.081368
54.179698,0.185000,0.000000,1.245850,0.050543
54.279698,0.185000,0.000000,1.253910,0.029115
54.379698,0.185000,0.000000,1.261636,0.011868
54.479698,0.185000,0.000000,1.247208,0.056056
54.579698,0.185000,0.000000,1.227208,0.092262
54.679698,0.185000,0.000000,1.221184,0.105768
54.779698,0.185000,0.000000,1.218665,0.091050
54.879698,0.185000,0.000000,1.200180,0.085702
54.979698,0.185000,0.000000,1.177683,0.083035
55.079698,0.185000,0.000000,1.177688,0.053988
55.179698,0.185000,0.000000,1.192700,0.035951
55.279698,0.185000,0.000000,1.214392,0.007833
55.379698,0.185000,0.000000,1.240540,0.013830
55.479698,0.185000,0.000000,1.228998,0.022208
55.579698,0.185000,0.000000,1.192286,0.023461
55.679698,0.185000,0.000000,1.210108,0.034750
55.779698,0.185000,0.000000,1.241603,0.054399
55.879698,0.185000,0.000000,1.260049,0.070547
55.979698,0.185000,0.000000,1.275217,0.076585
56.079698,0.185000,0.000000,1.263343,0.065013
56.179698,0.185000,0.000000,1.244659,0.048006
56.279698,0.185000,0.000000,1.221948,0.039963
56.379698,0.185000,0.000000,1.198226,0.035227
56.479698,0.185000,0.000000,1.215918,0.038698
56.579698,0.185000,0.000000,1.243983,0.053932
56.679698,0.185000,0.000000,1.256545,0.051781
56.779698,0.185000,0.000000,1.258792,0.031874
56.879698,0.185000,0.000000,1.263783,0.030417
56.979698,0.185000,0.000000,1.269462,0.052444
57.079698,0.185000,0.000000,1.236123,0.069280
57.179698,0.185000,0.000000,1.192956,0.068317
57.279698,0.185000,0.000000,1.211781,0.068969
57.379698,0.185000,0.000000,1.246134,0.051150
57.479698,0.185000,0.000000,1.226836,0.052323
57.579698,0.185000,0.000000,1.171870,0.044220
57.679698,0.185000,0.000000,1.198877,0.041904
57.779698,0.185000,0.000000,1.246469,0.034742
57.879698,0.185000,0.000000,1.233469,0.044782
57.979698,0.185000,0.000000,1.205244,0.054734
58.079698,0.185000,0.000000,1.198177,0.061863
58.179698,0.185000,0.000000,1.196451,0.060227
58.279698,0.185000,0.000000,1.205857,0.060669
58.379698,0.185000,0.000000,1.218058,0.053064
58.479698,0.189994,0.000000,1.221535,0.053733
58.579698,0.185007,-0.102359,1.222827,0.057163
58.679698,0.189998,-0.262438,1.227894,0.041260
58.779698,0.190000,-0.359923,1.233910,0.001956
58.879698,0.190000,-0.362498,1.227770,-0.052939
58.979698,0.190000,-0.367493,1.218586,-0.100856
59.079698,0.190000,-0.362505,1.217200,-0.122243
59.179698,0.190000,-0.362500,1.221017,-0.150473
59.279698,0.190000,-0.362500,1.240284,-0.179799
59.379698,0.190000,-0.362500,1.263430,-0.198362
59.479698,0.190000,-0.362500,1.277989,-0.208226
59.579698,0.190000,-0.362500,1.290392,-0.204233
59.679698,0.190000,-0.360003,1.283314,-0.208122
59.779698,0.190000,-0.337530,1.263271,-0.197558
59.879698,0.190000,-0.327509,1.252925,-0.188487
59.979698,0.190000,-0.325004,1.245007,-0.190639
60.079698,0.190000,-0.325000,1.239601,-0.190371
60.179698,0.192497,-0.327497,1.234827,-0.193691
60.279698,0.192500,-0.327500,1.237329,-0.198478
60.379698,0.192500,-0.327500,1.241650,-0.184298
60.479698,0.192500,-0.327500,1.270357,-0.176979
60.579698,0.192500,-0.359981,1.305167,-0.190260
60.679698,0.192500,-0.409957,1.270076,-0.205127
60.779698,0.192500,-0.410000,1.217388,-0.216561
60.879698,0.192500,-0.410000,1.223757,-0.228355
60.979698,0.192500,-0.410000,1.244940,-0.233658
61.079698,0.192500,-0.410000,1.226035,-0.235032
61.179698,0.192500,-0.410000,1.197033,-0.234455
61.279698,0.192500,-0.410000,1.211971,-0.235001
61.379698,0.192500,-0.410000,1.237900,-0.236090
61.479698,0.192500,-0.410000,1.256429,-0.218062
61.579698,0.192500,-0.410000,1.273105,-0.208241
61.679698,0.192500,-0.410000,1.261177,-0.208298
61.779698,0.192500,-0.410000,1.242084,-0.215810
61.879698,0.192500,-0.410000,1.244457,-0.227654
61.979698,0.192500,-0.410000,1.252198,-0.248344
62.079698,0.192500,-0.410000,1.251249,-0.250810
62.179698,0.192500,-0.407501,1.248120,-0.272160
62.279698,0.192500,-0.407500,1.236773,-0.270702
62.379698,0.192500,-0.407500,1.223366,-0.254196
62.479698,0.192500,-0.407500,1.231602,-0.218395
62.579698,0.192500,-0.407500,1.245269,-0.204974
62.679698,0.192500,-0.407500,1.235941,-0.209313
62.779698,0.192500,-0.407500,1.220862,-0.249728
62.879698,0.192500,-0.407500,1.227400,-0.250002
62.979698,0.192500,-0.407500,1.239361,-0.227125
63.079698,0.192500,-0.407500,1.239383,-0.218804
63.179698,0.192500,-0.407500,1.236413,-0.215588
63.279698,0.192500,-0.407500,1.226140,-0.244261
63.379698,0.192500,-0.407500,1.214042,-0.246483
63.479698,0.192500,-0.407500,1.209855,-0.202718
63.579698,0.192500,-0.407500,1.207648,-0.237633
63.679698,0.194997,-0.407500,1.208843,-0.274732
63.779698,0.195000,-0.407500,1.210891,-0.263469
63.879698,0.195000,-0.407500,1.206033,-0.220463
63.979698,0.195000,-0.407500,1.199442,-0.227948
64.079698,0.195000,-0.407500,1.187450,-0.253968
64.179698,0.195000,-0.407500,1.171862,-0.212431
64.279698,0.195000,-0.407500,1.192662,-0.222287
64.379698,0.195000,-0.407500,1.222570,-0.256462
64.479698,0.195000,-0.407500,1.227202,-0.252837
64.579698,0.195000,-0.407500,1.225490,-0.232302
64.679698,0.195000,-0.405003,1.245313,-0.255381
64.779698,0.195000,-0.405000,1.279504,-0.251569
64.879698,0.195000,-0.400002,1.242835,-0.234871
64.979698,0.195000,-0.400000,1.188371,-0.256675
65.079698,0.195000,-0.400000,1.188414,-0.249260
65.179698,0.195000,-0.400000,1.224753,-0.227841
65.279698,0.195000,-0.400000,1.228509,-0.241790
65.379698,0.195000,-0.400000,1.210584,-0.226754
65.479698,0.195000,-0.395004,1.191184,-0.227446
65.579698,0.195000,-0.395000,1.171412,-0.249888
65.679698,0.195000,-0.395000,1.193787,-0.207907
65.779698,0.195000,-0.395000,1.226753,-0.237877
65.879698,0.195000,-0.395000,1.209041,-0.227299
65.979698,0.195000,-0.395000,1.178614,-0.244962
66.079698,0.195000,-0.395000,1.197413,-0.243835
66.179698,0.195000,-0.395000,1.228576,-0.254270
66.279698,0.195000,-0.395000,1.229299,-0.252392
66.379698,0.195000,-0.395000,1.222401,-0.264090
66.479698,0.195000,-0.395000,1.222637,-0.264703
66.579698,0.195000,-0.395000,1.227614,-0.276088
66.679698,0.195000,-0.395000,1.244660,-0.270390
66.779698,0.195000,-0.395000,1.264732,-0.256373
66.879698,0.195000,-0.395000,1.247685,-0.256808
66.979698,0.195000,-0.395000,1.221318,-0.255147
67.079698,0.195000,-0.395000,1.218977,-0.235245
67.179698,0.195000,-0.395000,1.222694,-0.241624
67.279698,0.195000,-0.395000,1.218587,-0.242191
67.379698,0.195000,-0.395000,1.209277,-0.234785
67.479698,0.195000,-0.395000,1.226792,-0.247997
67.579698,0.195000,-0.395000,1.251038,-0.231894
67.679698,0.195000,-0.395000,1.243227,-0.252335
67.779698,0.195000,-0.395000,1.227395,-0.265931
67.879698,0.195000,-0.399994,1.214292,-0.257530
67.979698,0.195000,-0.400000,1.201872,-0.256747
68.079698,0.195000,-0.395004,1.221534,-0.252005
68.179698,0.195000,-0.395000,1.249260,-0.259562
68.279698,0.195000,-0.399996,1.248803,-0.259776
68.379698,0.195000,-0.400000,1.229594,-0.256653
68.479698,0.195000,-0.395004,1.237197,-0.264562
68.579698,0.195000,-0.395000,1.251560,-0.246868
68.679698,0.195000,-0.395000,1.247098,-0.252601
68.779698,0.195000,-0.399996,1.237910,-0.254759
68.879698,0.195000,-0.400000,1.224631,-0.263100
68.979698,0.195000,-0.400000,1.208633,-0.256763
69.079698,0.195000,-0.400000,1.202589,-0.268193
69.179698,0.195000,-0.400000,1.199044,-0.273581
69.279698,0.195000,-0.400000,1.215394,-0.261889
69.379698,0.195000,-0.400000,1.244986,-0.264583
69.479698,0.195000,-0.400000,1.242241,-0.260173
69.579698,0.195000,-0.400000,1.231391,-0.264199
69.679698,0.195000,-0.400000,1.221893,-0.265421
69.779698,0.195000,-0.400000,1.213294,-0.265036
69.879698,0.195000,-0.400000,1.212197,-0.277231
69.979698,0.195000,-0.400000,1.212979,-0.282759
70.079698,0.195000,-0.400000,1.214304,-0.281449
70.179698,0.195000,-0.400000,1.215766,-0.287566
70.279698,0.195000,-0.400000,1.225339,-0.272701
70.379698,0.195000,-0.400000,1.236949,-0.271466
70.479698,0.195000,-0.400000,1.254633,-0.272095
70.579698,0.195000,-0.400000,1.273843,-0.278515
70.679698,0.195000,-0.400000,1.261927,-0.271719
70.779698,0.195000,-0.400000,1.242195,-0.288864
70.879698,0.195000,-0.400000,1.198432,-0.277824
70.979698,0.199992,-0.400000,1.148653,-0.316942
71.079698,0.200000,-0.400000,1.160690,-0.285077
71.179698,0.200000,-0.400000,1.213997,-0.283697
71.279698,0.200000,-0.400000,1.206970,-0.283896
71.379698,0.200000,-0.400000,1.184815,-0.285069
71.479698,0.200000,-0.400000,1.209430,-0.283668
71.579698,0.200000,-0.400000,1.245746,-0.276847
71.679698,0.200000,-0.400000,1.227808,-0.290304
71.779698,0.200000,-0.400000,1.196208,-0.283458
71.879698,0.200000,-0.400000,1.215754,-0.290584
71.979698,0.200000,-0.400000,1.248109,-0.312450
72.079698,0.200000,-0.400000,1.262094,-0.313125
72.179698,0.200000,-0.400000,1.271478,-0.281519
72.279698,0.200000,-0.400000,1.275691,-0.306224
72.379698,0.200000,-0.400000,1.278606,-0.310595
72.479698,0.200000,-0.400000,1.263719,-0.312946
72.579698,0.200000,-0.400000,1.244377,-0.304373
72.679698,0.200000,-0.400000,1.272206,-0.301860
72.779698,0.200000,-0.400000,1.311867,-0.335239
72.879698,0.200000,-0.400000,1.298362,-0.308559
72.979698,0.200000,-0.400000,1.271553,-0.296799
73.079698,0.200000,-0.400000,1.274904,-0.301787
73.179698,0.200000,-0.400000,1.285842,-0.339419
73.279698,0.200000,-0.400000,1.292195,-0.327350
73.379698,0.200000,-0.400000,1.297399,-0.297667
73.479698,0.200000,-0.400000,1.268946,-0.355317
73.579698,0.200000,-0.400000,1.218109,-0.348506
73.679698,0.200000,-0.400000,1.231386,-0.296364
73.779698,0.200000,-0.400000,1.260700,-0.338796
73.879698,0.200000,-0.400000,1.250166,-0.313361
73.979698,0.200000,-0.400000,1.229636,-0.287321
74.079698,0.200000,-0.057938,1.270617,-0.313209
74.179698,0.200000,-0.000072,1.327101,-0.299904
74.279698,0.200000,0.000000,1.304145,-0.188915
74.379698,0.200000,0.000000,1.228363,-0.097565
74.479698,0.200000,0.000000,1.223732,-0.047315
74.579698,0.200000,0.000000,1.236945,-0.018044
74.679698,0.200000,0.000000,1.253648,-0.005343
74.779698,0.200000,0.000000,1.271227,-0.020692
74.879698,0.200000,0.000000,1.308813,-0.030105
74.979698,0.200000,0.000000,1.351423,-0.015908
75.079698,0.200000,0.000000,1.293192,0.015232
75.179698,0.200000,0.000000,1.209562,0.029754
75.279698,0.200000,0.000000,1.217377,0.023942
75.379698,0.200000,0.000000,1.248088,0.024515
